Log Mode	Log Freq	Timestamp	AccX	AccY	AccZ	GyroX	GyroY	GyroZ	MagnX	MagnY	MagnZ	qw	qi	qj	qk
5	200	1650449513	602.436	240.096	725.412	-2.073171	-10.97561	-0.8536586	-520	-186	-556	0.9303672	0.1030915	-0.346141	-0.06305125
5	200	1650449513	628.788	233.508	713.7	-4.512195	-8.658537	-0.6097561	-520	-186	-556	0.9293475	0.1037324	-0.348674	-0.06308176
5	200	1650449513	609.024	234.972	776.652	-6.097561	-6.585366	-0.4878049	-519	-185	-554	0.9291206	0.1041597	-0.3491012	-0.06335643
5	200	1650449513	600.972	226.92	766.404	-6.585366	-5.609756	0	-519	-185	-554	0.9291741	0.1044343	-0.3488266	-0.06363109
5	200	1650449513	629.52	243.024	789.096	-10	-2.195122	0.8536586	-520	-185	-554	0.9294968	0.1044954	-0.3478805	-0.06399731
5	200	1650449513	616.344	237.9	802.272	-12.80488	0.3658537	1.585366	-521	-185	-554	0.9297882	0.1045564	-0.347026	-0.0643025
5	200	1650449513	641.232	249.612	759.084	-16.58537	4.756098	1.585366	-521	-185	-554	0.9295278	0.1049226	-0.3475448	-0.06466872
5	200	1650449513	635.376	227.652	773.724	-18.17073	6.95122	0.9756098	-520	-184	-554	0.9296003	0.1045259	-0.3474532	-0.06476028
5	200	1650449513	618.54	198.372	789.828	-17.68293	7.560976	0.2439024	-520	-184	-554	0.930047	0.1029084	-0.3467513	-0.06469925
5	200	1650449513	589.26	184.464	792.024	-9.756098	1.341463	-1.219512	-519	-184	-554	0.9308891	0.1011383	-0.3450423	-0.06451613
5	200	1650449513	617.808	214.476	765.672	-4.268293	-0.4878049	0.7317073	-519	-184	-554	0.9308878	0.1004975	-0.3452559	-0.06439406
5	200	1650449513	612.684	237.9	762.744	-3.04878	-0.3658537	1.585366	-520	-184	-553	0.930646	0.1007416	-0.3458357	-0.06439405
5	200	1650449513	600.24	210.816	734.928	-0.7317073	-0.1219512	1.707317	-520	-184	-553	0.9303002	0.1010773	-0.3466903	-0.06427198
5	200	1650449513	606.828	240.828	759.816	1.219512	0.2439024	1.585366	-520	-184	-554	0.9300913	0.1018708	-0.3469954	-0.06439405
5	200	1650449513	611.952	218.868	781.044	1.95122	0.1219512	2.682927	-520	-184	-554	0.9305551	0.1017792	-0.3458052	-0.06424146
5	200	1650449513	622.2	243.756	750.3	1.341463	0.6097561	2.804878	-519	-184	-554	0.9300129	0.1031831	-0.3468123	-0.06442457
5	200	1650449513	622.2	236.436	767.136	0.3658537	1.585366	2.804878	-519	-184	-554	0.9297984	0.1042512	-0.3470565	-0.06448561
5	200	1650449513	617.076	233.508	775.188	-0.2439024	2.073171	2.195122	-519	-184	-553	0.9298441	0.1041597	-0.3469954	-0.0643025
5	200	1650449513	614.88	256.932	784.704	-1.219512	1.707317	2.073171	-519	-184	-553	0.9297557	0.1051363	-0.3469039	-0.06448562
5	200	1650449513	612.684	213.012	770.064	-1.341463	0	2.439024	-520	-185	-554	0.9298521	0.1052278	-0.3466293	-0.06442458
5	200	1650449513	617.808	218.868	745.176	-2.073171	-2.317073	2.560976	-520	-185	-554	0.9300403	0.1050447	-0.346202	-0.0643025
5	200	1650449513	620.736	227.652	794.22	-2.317073	-3.902439	2.439024	-520	-184	-554	0.9303064	0.1043428	-0.3457442	-0.06405835
5	200	1650449513	636.108	230.58	702.72	-2.682927	-5.609756	2.439024	-520	-184	-554	0.9293173	0.1040681	-0.3485824	-0.0634785
5	200	1650449513	612.684	237.9	800.076	-3.04878	-6.707317	3.04878	-520	-185	-555	0.9296171	0.1040071	-0.3477889	-0.06353953
5	200	1650449513	607.56	221.064	798.612	-3.04878	-7.439024	2.560976	-520	-185	-555	0.9296092	0.1034272	-0.3480331	-0.06326487
5	200	1650449513	613.416	215.208	741.516	-3.292683	-7.195122	2.804878	-520	-184	-552	0.9294776	0.1029084	-0.3485824	-0.06302072
5	200	1650449513	612.684	224.724	760.548	-3.536585	-3.902439	2.317073	-520	-184	-552	0.9294261	0.1032136	-0.3486129	-0.06311228
5	200	1650449513	618.54	239.364	781.044	-4.146341	-2.682927	2.195122	-520	-185	-554	0.9295451	0.1041597	-0.3479415	-0.06350902
5	200	1650449513	630.252	244.488	778.848	-4.878049	-0.3658537	1.707317	-520	-185	-554	0.9296689	0.1048005	-0.3473617	-0.06381419
5	200	1650449513	593.652	234.972	801.54	-6.097561	1.219512	1.585366	-519	-184	-553	0.9302703	0.1043733	-0.3458663	-0.06387524
5	200	1650449513	620.004	246.684	781.776	-7.804878	3.414634	1.463415	-519	-184	-553	0.9300231	0.1048616	-0.3463546	-0.06402784
5	200	1650449513	599.508	234.972	769.332	-8.780488	4.756098	2.073171	-521	-186	-555	0.9300197	0.104709	-0.3464156	-0.06399731
5	200	1650449513	639.036	226.188	782.508	-9.512196	6.829268	2.560976	-521	-186	-555	0.9300085	0.1041292	-0.3466598	-0.06378369
5	200	1650449513	618.54	226.188	796.416	-9.878049	7.439024	2.926829	-521	-184	-553	0.9301711	0.1039765	-0.346263	-0.06381419
5	200	1650449513	619.272	243.024	765.672	-9.390244	9.634147	2.682927	-521	-184	-553	0.9301328	0.1047395	-0.3460799	-0.06411939
5	200	1650449513	613.416	234.972	807.396	-8.780488	10.36585	3.04878	-522	-184	-553	0.9301649	0.1051668	-0.3458357	-0.06427198
5	200	1650449513	646.356	232.776	789.096	-8.414635	10.97561	3.292683	-522	-184	-553	0.9305511	0.104648	-0.3449812	-0.06411938
